ka,NP1,JP-kanji,JP-rubi,NP-sentence,JP-question,exa,renban,S0,S3,S5,S7,S2,S4,N2,N4,N6,N8,,,,,,,,,
11,यातायात,交通,こうつう,यो शहर यातायातमा　सुविधाजनक  छ,この町は（　）が便利です,この町は交通が便利です,126,1,,,,,,,,,,,,,,,,,,
11,धेरै,多い,おおい,यो बाटोमा धेरै गाडीहरु छन्,この道は車が（　）です,この道は車が多いです,127,1,,,,,,,,,,,,,,,,,,
11,डराएको,怖い,こわい,त्यो बाटो रातमा अँध्यारो र डरलाग्दो हुन्छ।,その道は夜、暗くて（　）です,その道は夜、暗くて怖いです,128,1,,,,,,,,,,,,,,,,,,
11,"यसबाहेक,",,それに,"त्यो बाटो साँघुरो छ । साथै, यो अँध्यारो र खतरनाक छ।",その道は狭いです。（　）、暗くて危ないです,その道は狭いです。それに、暗くて危ないです,129,1,,,,,,,,,,,,,,,,,,
11,अगाडि बढ्नु,進む,すすむ,"यो खतरनाक छ, त्यसैले बिस्तारै जानुहोस्।",危ないので、ゆっくり（　）ます,危ないので、ゆっくり進みます,130,1,,,,,,,,,,,,,,,,,,
11,"
उकालो",坂,さか,यो सहरमा धेरै उकालो हरू छन्,この町は（　）が多いです,この町は坂が多いです,131,1,,,,,,,,,,,,,,,,,,
11,लिन जानु,迎える,むかえる,म मेरो साथीलाई लिन एयरपोर्ट जाँदैछु।,友達を（　）に空港へ行きます,友達を迎えに空港へ行きます,132,1,,,,,,,,,,,,,,,,,,
11,एक्सप्रेस,急行,きゅうこう,"यदि तपाईं एयरपोर्ट जान चाहनुहुन्छ भने, एक्सप्रेस ट्रेन सुविधाजनक छ।",空港へ行くなら、（　）が便利です,空港へ行くなら、急行が便利です,133,1,,,,,,,,,,,,,,,,,,
11,जानु,出発する,しゅっぱつする,बस यहाँबाट छुट्छ,バスは、ここから（　）します,バスは、ここから出発します,134,1,,,,,,,,,,,,,,,,,,
11,केहि समय अघि,,さっき,बस भर्खरै छुटेको छ,バスは、（　）出発しました,バスは、さっき出発しました,135,1,,,,,,,,,,,,,,,,,,
11,खाली,空く,あく,"सिट खाली छ, बसौं।",席が（　）いたので、座りましょう,席が空いたので、座りましょう,136,1,,,,,,,,,,,,,,,,,,
11,निर्माण कार्य गर्न,工事する,こうじする,विमानस्थलको भवन निर्माणको काम भइरहेको छ ।,空港は建物の（　）をしています,空港は建物の工事をしています,137,1,,,,,,,,,,,,,,,,,,
12,चाँडै,,もうすぐ,गर्मी बिदा चाँडै आउँदैछ,（　）夏休みです,もうすぐ夏休みです,138,1,,,,,,,,,,,,,,,,,,
12,योजना,計画する,けいかくする,यात्राको योजना बनाएको थिए,旅行の（　）を立てました,旅行の計画を立てました,139,1,,,,,,,,,,,,,,,,,,
12,तयार गर्ने,用意する,よういする,मैले मेरो सामान तयार गरें।,荷物の（　）をしました,荷物の用意をしました,140,1,,,,,,,,,,,,,,,,,,
12,झ्याउ गर्नु,邪魔に,じゃまに,"यदि तपाईंले आफ्नो सामान यहाँ राख्नुभयो भने, झ्याउ  गर्न सक्छ ।",荷物をここに置くと、（　）なります,荷物をここに置くと、邪魔になります,141,1,,,,,,,,,,,,,,,,,,
12,बोक्ने,運ぶ,はこぶ,कृपया आफ्नो सामान त्यहाँ लैजानुहोस्।,あそこに荷物を（　）でください,あそこに荷物を運んでください,142,1,,,,,,,,,,,,,,,,,,
12,स्मारिका,お土産,おみやげ,यो एक यात्रा स्मारिका हो,これは旅行の（　）です,これは旅行のお土産です,143,1,,,,,,,,,,,,,,,,,,
12,दृश्यहरू,景色,けしき,पहाडको टुप्पोबाट सुन्दर दृश्य देख्न सकिन्छ,山の上からきれいな（　）が見られます,山の上からきれいな景色が見られます,144,1,,,,,,,,,,,,,,,,,,
12,दुर्लभ,珍しい,めずらしい,यस पहाडमा दुर्लभ जनावरहरू छन्,この山には、（　）動物がいます,この山には、珍しい動物がいます,145,1,,,,,,,,,,,,,,,,,,
12,नक्सा,地図,ちず,नक्सा हेर्दै जान्छु ।,（　）を見ながら行きます,地図を見ながら行きます,146,1,,,,,,,,,,,,,,,,,,
12,स्पर्श,触る,さわる,कृपया संग्रहालयमा भएका चित्रहरूलाई नछुनुहोस्,美術館の絵には（　）ないでください,美術館の絵には触らないでください,147,1,,,,,,,,,,,,,,,,,,
12,प्रतिलिपि,写す,うつす,कृपया आफ्नो क्यामेराले त्यो तस्विरको फोटो नलिनुहोस्।,その絵はカメラで（　）ないでください,その絵はカメラで写さないでください,148,1,,,,,,,,,,,,,,,,,,
12,हल्ला गर्नु,騒ぐ,さわぐ,कृपया यहाँ हल्ला  नगर्नुहोस्,ここでは（　）ないでください,ここでは騒がないでください,149,1,,,,,,,,,,,,,,,,,,
13,कोलाहल,,うるさい,छेउको कोठामा भएको व्यक्तिले　हल्ला भयो भनेर  मलाई चेतावनी दियो ।,隣の部屋の人に「（　）」と注意されました,隣の部屋の人に「うるさい」と注意されました,150,1,,,,,,,,,,,,,,,,,,
13,माफी माग्नु,謝る,あやまる,मैले त्यो व्यक्तिसँग माफी मागेँ,私はその人に（　）ました,私はその人に謝りました,151,1,,,,,,,,,,,,,,,,,,
13,आवाज,音,おと,मैले टिभीको आवाज घटाएँ,テレビの（　）を小さくしました,テレビの音を小さくしました,152,1,,,,,,,,,,,,,,,,,,
13,भेटियो,見つかる,みつかる,वालेट फेला परेन,財布が（　）ません,財布が見つかりません,153,1,,,,,,,,,,,,,,,,,,
13,चोरी,盗む,ぬすむ,मेरो पर्स चोरी भयो,財布を（　）れました,財布を盗まれました,154,1,,,,,,,,,,,,,,,,,,
13,चिप्लिनु,滑る,すべる,मेरो खुट्टा हिउँमा चिप्लियो,雪で足が（　）ってしまいました,雪で足が滑ってしまいました,155,1,,,,,,,,,,,,,,,,,,
13,ठोकिनु,打つ,うつ,टाउकोमा ठोकियो र अस्पताल गएँ ।,頭を（　）って病院へ行きました,頭を打って病院へ行きました,156,1,,,,,,,,,,,,,,,,,,
13,बिग्रनु,故障する,こしょうする,ट्रेन बिग्रियो,電車が（　）しました,電車が故障しました,157,1,,,,,,,,,,,,,,,,,,
13,दुर्घटना,事故,じこ,रेल दुर्घटना भयो,電車の（　）がありました,電車の事故がありました,158,1,,,,,,,,,,,,,,,,,,
13,सार्नुहोस्、चल्नु,動く,うごく,दुर्घटनाका कारण रेल चलिरहेको छैन ।,事故で電車が（　）いていません,事故で電車が動いていません,159,1,,,,,,,,,,,,,,,,,,
13,कारण,原因,げんいん,दुर्घटनाको कारण भने अझै खुल्न सकेको छैन,事故の（　）は、まだ分かりません,事故の原因は、まだ分かりません,160,1,,,,,,,,,,,,,,,,,,
13,ढिलो हुनु,遅れる,おくれる,ट्रेन ३० मिनेट ढिलो भएको थियो,30分も電車が（　）ました,30分も電車が遅れました,161,1,,,,,,,,,,,,,,,,,,
14,निमन्त्रणा,誘う,さそう,एक साथीलाई डिनरमा बोलाउछु ।,友達を食事に（　）ます,友達を食事に誘います,162,1,,,,,,,,,,,,,,,,,,
14,प्रत्यक्ष,直接,ちょくせつ,म मेरो साथीलाई सिधै सोध्छु,友達に（　）、聞いてみます,友達に直接、聞いてみます,163,1,,,,,,,,,,,,,,,,,,
14,अलिकति,,ちょっと,"A: के तपाई बाहिर खान जान चाहनुहुन्छ? B: मैले मेरो गृहकार्य पूरा गरेको छैन, त्यसैले...",A：食事に行きませんか。B：宿題が終わらないので、（　）…,A：食事に行きませんかB：宿題が終わらないので、ちょっと…,164,1,,,,,,,,,,,,,,,,,,
14,अवस्था,都合,つごう,आज मेरो मुड राम्रो छैन।,今日は（　）が悪いんです,今日は都合が悪いんです,165,1,,,,,,,,,,,,,,,,,,
14,सकेसम्म,,ぜひ,सकेसम्म　यसपटक सँगै जाऔं,今度は（　）、一緒に行きましょう,今度はぜひ、一緒に行きましょう,166,1,,,,,,,,,,,,,,,,,,
14,आफ्नै काम,用事,ようじ,"आफ्नै काम छ, त्यसैले म जान सक्दिन।",明日は（　）があるので、行けません,明日は用事があるので、行けません,167,1,,,,,,,,,,,,,,,,,,
14,राम्रो छैन、सक्दिन,駄目な,だめな,म यो हप्ता व्यस्त छु त्यसैले म सक्दिन।,今週は、忙しいから（　）んです,今週は、忙しいから駄目なんです,168,1,,,,,,,,,,,,,,,,,,
14,मलाई कुनै आपत्ति छैन,構いません,かまいません,के  अर्को हप्ता भयनी हुन्छ ?,来週でも（　）か,来週でもかまいませんか,169,1,,,,,,,,,,,,,,,,,,
14,सम्पर्क गर्नुहोस्,連絡する,れんらくする,म घर पुगेपछी इमेल मार्फत सम्पर्क गर्नेछु।,うちに帰ったら、メールで（　）します,うちに帰ったら、メールで連絡します,170,1,,,,,,,,,,,,,,,,,,
14,प्रतिज्ञा,約束する,やくそくする,मैले साथीलाई भेट्ने बाचा गरें,友達と会う（　）をしました,友達と会う約束をしました,171,1,,,,,,,,,,,,,,,,,,
14,समयमा नपुग्नु,間に合う,まにあう,तपाईंले वाचा गरे अनुसार समयमै गर्न नसक्ने हुन सक्छ,約束の時間に（　）ないかもしれません,約束の時間に間に合わないかもしれません,172,1,,,,,,,,,,,,,,,,,,
14,दोस्रो विचार मा,,やっぱり,मेरो साथी ढिलो भयो।,友達は（　）時間に遅れてきました,友達はやっぱり時間に遅れてきました,173,1,,,,,,,,,,,,,,,,,,
15,फस्टाउँदै　लोकप्रिय,盛んな,さかんな,खेलकुद मेरो देशमा लोकप्रिय छ,私の国はスポーツが（　）です,私の国はスポーツが盛んです,174,1,,,,,,,,,,,,,,,,,,
15,नियम,,ルール,के तपाईलाई फुटबलको नियम थाहा छ?,サッカーの（　）を知っていますか,サッカーのルールを知っていますか,175,1,,,,,,,,,,,,,,,,,,
15,अनुमान लगाउनु,競争する,きょうそうする,कुन टोलीले सबैभन्दा बढी अंक प्राप्त गर्न सक्छ भनेर अनुमान लगाउनु,どちらのチームが多く点を取れるか、（　）します,どちらのチームが多く点を取れるか、競争します,176,1,,,,,,,,,,,,,,,,,,
15,खेल,試合,しあい,के तपाई जापान र ब्राजिल बिचको खेल हेर्न जान चाहनुहुन्छ ?,日本とブラジルの（　）を見に行きませんか,日本とブラジルの試合を見に行きませんか,177,1,,,,,,,,,,,,,,,,,,
15,टिकट,,ちけっと,खेल हेर्नको लागि टिकट चाहिन्छ।,試合を見るのに、（　）がいります,試合を見るのに、チケットがいります,178,1,,,,,,,,,,,,,,,,,,
15,जसरिपनि,必ず,かならず,जसरिपनि टिकट खरिद गर्नहोस्,チケットを（　）買っておいてください,チケットを必ず買っておいてください,179,1,,,,,,,,,,,,,,,,,,
15,रोक्नु,止める,とめる,तपाईं आफ्नो कार प्रवेश द्वार नजिकै पार्क गर्न सक्नुहुन्न।,入口の近くには、車を（　）れません,入口の近くには、車を止められません,180,1,,,,,,,,,,,,,,,,,,
15,रद्द गर्नु,中止する,ちゅうしする,पानी परे पनि खेल रद्द हुने छैन,雨でも、試合は（　）になりません,雨でも、試合は中止になりません,181,1,,,,,,,,,,,,,,,,,,
15,पानी पर्न  रोकिनु,止む,やむ,खेल सुरु हुँदा पानी रोकियो ।,試合が始まると、雨が（　）ました,試合が始まると、雨がやみました,182,1,,,,,,,,,,,,,,,,,,
15,बीचमा,途中,とちゅう,खेल चलिरहँदा पानी पर्न थाल्यो,試合の（　）で、雨が降ってきました,試合の途中で、雨が降ってきました,183,1,,,,,,,,,,,,,,,,,,
15,जित्नु,勝つ,かつ,"जापान कमजोर छ, त्यसैले मलाई लाग्दैन कि उसले जित्न सक्छ।",日本は弱いので、（　）てないと思います,日本は弱いので、勝てないと思います,184,1,,,,,,,,,,,,,,,,,,
15,हराउनु,負ける,まける,हारे पनि खेल रमाइलो थियो ।,（　）ましたが、試合は楽しかったです,負けましたが、試合は楽しかったです,185,1,,,,,,,,,,,,,,,,,,
16,सुख्खा,乾く,かわく,"मौसम राम्रो छ, त्यसैले लुगा राम्रोसँग सुक्छ।",天気がいいので、洗濯物がよく（　）ます,天気がいいので、洗濯物がよく乾きます,186,1,,,,,,,,,,,,,,,,,,
16,घाम अस्ताउनु,暮れる,くれる,"शरद ऋतुमा, सूर्य पहिले नै अस्ताउँछ।",秋は日が（　）時間が早くなります,秋は日が暮れる時間が早くなります,187,1,,,,,,,,,,,,,,,,,,
16,विशेष गरी,特に,とくに,यो जाडो विशेष गरी जाडो छ,今年の冬は（　）寒いですね,今年の冬は特に寒いですね,188,1,,,,,,,,,,,,,,,,,,
16,चिसो हुनु,冷える,ひえる,"जाडो छ, त्यसैले मेरो शरीर चिसो छ।",寒いので、体が（　）ました,寒いので、体が冷えました,189,1,,,,,,,,,,,,,,,,,,
16,तातो,暖房,だんぼう,"चिसो छ, त्यसैले मैले हीटर अन गरें।",寒いので、（　）をつけました,寒いので、暖房をつけました,190,1,,,,,,,,,,,,,,,,,,
16,छाता खोल्नु,傘をさす,かさをさす,"पानी परिरहेको थियो, त्यसैले मैले छाता निकालें",雨なので、（　）ました,雨なので、傘をさしました,191,1,,,,,,,,,,,,,,,,,,
16,पल्टिनु,倒れる,たおれる,तेज हावाको कारण मेरो साइकल पल्टिएको थियो,強い風で、自転車が（　）ました,強い風で、自転車が倒れました,192,1,,,,,,,,,,,,,,,,,,
16,भाचिनु,折れる,おれる,आँधीको समयमा रूखको हाँगा भाँचियो र उड्यो।,台風で木の枝が（　）て、飛んで行きました,台風で木の枝が折れて、飛んで行きました,193,1,,,,,,,,,,,,,,,,,,
16,रोप्नु,植える,うえる,मैले पहाडमा रूख रोपें,山に木を（　）ました,山に木を植えました,194,1,,,,,,,,,,,,,,,,,,
16,गहिरो,深い,ふかい,"यो नदी गहिरो छ, कृपया सावधान रहनुहोस्",この川は（　）ので、気を付けてください,この川は深いので、気を付けてください,195,1,,,,,,,,,,,,,,,,,,
16,राय,意見,いけん,तपाईंसँग कुनै टिप्पणी छ?,何かご（　）はありますか,何かご意見はありますか,196,1,,,,,,,,,,,,,,,,,,
16,विरुद्ध हो,反対する,はんたいする,म श्री तानाकाको विचारसँग असहमत छु।,田中さんの意見には、（　）です,田中さんの意見には、反対です,197,1,,,,,,,,,,,,,,,,,,
17,मेहेनत का साथ,熱心に,ねっしんに,सबैले मिहिनेत गरेर अध्ययन गरिरहेका छन्,みんな（　）勉強しています,みんな熱心に勉強しています,198,1,,,,,,,,,,,,,,,,,,
17,उपयोगी,役に立つ,やくにたつ,यो पुस्तक अध्ययन गर्न उपयोगी छ,この本は勉強の（　）ます,この本は勉強の役に立ちます,199,1,,,,,,,,,,,,,,,,,,
17,अर्थ,意味,いみ,यो शब्दको अर्थ बुझ्नुभयो ?,この言葉の（　）が分かりますか,この言葉の意味が分かりますか,200,1,,,,,,,,,,,,,,,,,,
17,खोज्नु,調べる,しらべる,शब्दकोश प्रयोग गरेर अर्थ खोज्नुहोस्,辞書を使って意味を（　）ます,辞書を使って意味を調べます,201,1,,,,,,,,,,,,,,,,,,
17,सङ्कलन、जम्मा गर्नु,集める,あつめる,गृहकार्य सङ्कलन　गर्छु ।,宿題を（　）ます,宿題を集めます,202,1,,,,,,,,,,,,,,,,,,
17,बुझाउनु,出す,だす,कृपया मलाई हिजोको गृहकार्य बुझाउनु होस्,昨日の宿題を（　）してください,昨日の宿題を出してください,203,1,,,,,,,,,,,,,,,,,,
17,विनम्रतापूर्वक,丁寧に,ていねいに,कृपया थप ध्यान दिएर लेख्नुहोस्,もっと（　）字を書いてください,もっと丁寧に書いてください,204,1,,,,,,,,,,,,,,,,,,
17,लगभग छैन,,ほとんど〜ない,मैले शिक्षकका धेरैजसो प्रश्नहरू बुझ्न सकिन।,先生の質問が（　）分かりませんでした,先生の質問がほとんど分かりませんでした,205,1,,,,,,,,,,,,,,,,,,
17,फेरि एक पटक,もう一度,もういちど,"माफ गर्नुहोस्, कृपया फेरि भन्नुहोस्",すみません、（　）言ってください,すみません、もう一度言ってください,206,1,,,,,,,,,,,,,,,,,,
17,बिस्तारै,,ゆっくり,कृपया अलि बिस्तारै बोल्नुहोस्,もう少し（　）と話してください,もう少しゆっくりと話してください,207,1,,,,,,,,,,,,,,,,,,
17,स्पष्ट रूपमा,,はっきり,अझ स्पष्ट रूपमा भन्नुहोस्,もっと（　）と言ってください,もっとはっきりと言ってください,208,1,,,,,,,,,,,,,,,,,,
17,सजिलो,簡単な,かんたんな,परीक्षा सजिलो थियो,テストは（　）でした,テストは簡単でした,209,1,,,,,,,,,,,,,,,,,,
17,गल्ती　गर्नु वा बिगार्नु,間違える,まちがえる,मैले परीक्षणमा कान्जी बिगारे,テストで漢字を（　）ました,テストで漢字を間違えました,210,1,,,,,,,,,,,,,,,,,,
18,छिटै छिटै,,どんどん,मेरो जापनिज भाषा　छिटै छिटै  राम्रोभयो。,日本語が（　）うまくなりました,日本語がどんどんうまくなりました,211,1,,,,,,,,,,,,,,,,,,
18,परीक्षा,試験,しけん,मेरो अर्को हप्ता महत्त्वपूर्ण परीक्षा छ।,来週、大切な（　）があります,来週、大切な試験があります,212,1,,,,,,,,,,,,,,,,,,
18,त्यसैले,,それで,मेरो परीक्षा छ। त्यसैले पढ्दै छु,試験があります。（　）、勉強しています,試験があります。それで、勉強しています,213,1,,,,,,,,,,,,,,,,,,
18,स्थल,会場,かいじょう,यो कक्षाकोठा परीक्षा स्थल हो।,この教室が試験の（　）です,この教室が試験の会場です,214,1,,,,,,,,,,,,,,,,,,
18,बताउनुहोस्,伝える,つたえる,मैले मेरो शिक्षकलाई भने  म जापानमा विदेशमा पढ्न चाहन्छु　भने।,日本に留学したいと先生に（　）ました,日本に留学したいと先生に伝えました,215,1,,,,,,,,,,,,,,,,,,
18,अनुभव,経験する,けいけんする,म जापान गएर विभिन्न अनुभवहरु लिन चाहन्छु ।,日本に行って、いろいろな（　）をしたいです,日本に行って、色々な経験をしたいです,216,1,,,,,,,,,,,,,,,,,,
18,संस्कृति,文化,ぶんか,म जापानी संस्कृति बारे जान्न चाहन्छु,日本の（　）について知りたいです,日本の文化について知りたいです,217,1,,,,,,,,,,,,,,,,,,
18,उपयुक्त,適当な,てきとうな,म जापानी संस्कृतिको बारेमा जान्नको लागि उपयुक्त पुस्तक खोज्दै छु।,日本文化を知るのに（　）本を探しています,日本文化を知るのに適当な本を探しています,218,1,,,,,,,,,,,,,,,,,,
18,सम्बन्ध,関係,かんけい,भाषा र संस्कृति बीचको सम्बन्धको खोजी गर्दै　छु,言葉と文化の（　）を調べています,言葉と文化の関係を調べています,219,1,,,,,,,,,,,,,,,,,,
18,रिपोर्ट,,レポート,मैले जापानी उपन्यासहरूको बारेमा रिपोर्ट लेखें।,日本の小説について（　）を書きました,日本の小説についてレポートを書きました,220,1,,,,,,,,,,,,,,,,,,
18,अनुवाद गर्नुहोस्,翻訳する,ほんやくする,जापानीबाट अंग्रेजीमा अनुवाद गरिएको,日本語を英語に（　）しました,日本語を英語に翻訳しました,221,1,,,,,,,,,,,,,,,,,,
18,जारी राख्नुहोस्,続ける,つづける,म जापानी भाषा अध्ययन जारी राख्छु,これからも日本語の勉強を（　）ます,これからも日本語の勉強を続けます,222,1,,,,,,,,,,,,,,,,,,
19,कारखाना,工場,こうじょう,यो कार कारखाना हो,ここは自動車の（　）です,ここは自動車の工場です,223,1,,,,,,,,,,,,,,,,,,
19,गाइड,案内する,あんないする,ग्राहकहरूलाई　कारखाना वरपर   देखाउँदै　छु,お客さんに工場を（　）します,お客さんに工場を案内します,224,1,,,,,,,,,,,,,,,,,,
19,भ्रमण गर्नुहोस्,見学する,けんがくする,हामीले भियतनामको एउटा कारखानाको भ्रमण गयौं,ベトナムの工場を（　）しました,ベトナムの工場を見学しました,225,1,,,,,,,,,,,,,,,,,,
19,प्रविधि,技術,ぎじゅつ,यो कारखानाले नयाँ प्रविधि प्रयोग गरेको छ,この工場では、新しい（　）を使っています,この工場では、新しい技術を使っています,226,1,,,,,,,,,,,,,,,,,,
19,खतरा,危険,きけん,"यो खतरनाक छ, त्यसैले कृपया यसलाई नछुनुहोस्।",（　）なので、触らないでください,危険なので、触らないでください,227,1,,,,,,,,,,,,,,,,,,
19,असभ्य,失礼な,しつれいな,अशिष्ट नहोस् सावधान रहनुहोस्,（　）ことをしないように気を付けます,失礼なことをしないように気を付けます,228,1,,,,,,,,,,,,,,,,,,
19,पठाउनुहोस्,送る,おくる,मैले श्री यमादालाई धन्यवाद पत्र पठाएँ।,山田さんにお礼の手紙を（　）ました,山田さんにお礼の手紙を送りました,229,1,,,,,,,,,,,,,,,,,,
19,बैठक,会議,かいぎ,भोलि बैठक छ,明日、（　）があります,明日、会議があります,230,1,,,,,,,,,,,,,,,,,,
19,ठाउँ,場所,ばしょ,के तपाईलाई थाहा छ बैठक कहाँ छ?,会議の（　）はどこか、知っていますか,会議の場所はどこか、知っていますか,231,1,,,,,,,,,,,,,,,,,,
19,वा,,または,हामीलाई ईमेल वा फोन मार्फत सम्पर्क गर्नुहोस्,メール（　）電話で連絡します,メールまたは電話で連絡します,232,1,,,,,,,,,,,,,,,,,,
19,जाँच गर्नुहोस्,,チェックする,मैले  इमेल चेक गरें,メールを（　）しました,メールをチェックしました,233,1,,,,,,,,,,,,,,,,,,
19,सट्टामा,代わりに,かわりに,म प्रबन्धकको सट्टामा  बैठकमा उपस्थित भए।,部長の（　）、私が会議に出ました,部長の代わりに、私が会議に出ました,234,1,,,,,,,,,,,,,,,,,,
19,~ बाहेक,〜以外,〜いがい,बैठकमा प्रबन्धक बाहेक सबै उपस्थित थिए ।,部長（　）は、みんな会議に出ました,部長以外は、みんな会議に出ました,235,1,,,,,,,,,,,,,,,,,,
20,गर्मी,熱,ねつ,"तपाईंको शरीर तातो छ, त्यसैले तपाईंलाई ज्वरो आउन सक्छ।",体が熱いので、（　）があるかもしれません,体が熱いので、熱があるかもしれません,236,1,,,,,,,,,,,,,,,,,,
20,घाँटी,喉,のど,मेरो घाँटी दुखेको छ,（　）が痛いです,喉が痛いです,237,1,,,,,,,,,,,,,,,,,,
20,तीतो,苦い,にがい,यो औषधि तीतो छ,この薬は（　）です,この薬は苦いです,238,1,,,,,,,,,,,,,,,,,,
20,निद्रा लागेको,眠い,ねむい,औषधि खाएपछि निद्रा लाग्न थाल्यो ।,薬を飲んだら（　）くなりました,薬を飲んだら眠くなりました,239,1,,,,,,,,,,,,,,,,,,
20,बन्द,閉じる,とじる,मलाई निन्द्रा लाग्यो र आँखा बन्द गरें,眠くなって、目を（　）ました,眠くなって、目を閉じました,240,1,,,,,,,,,,,,,,,,,,
20,बिरामी भेट्नु,お見舞い,おみまい,म बिरामी साथीलाई भेट्न गएँ।,病気の友達の（　）に行きました,病気の友達のお見舞いに行きました,241,1,,,,,,,,,,,,,,,,,,
20,ख्याल राख्नुहोस्,お大事に,おだいじに,"मैले मेरो साथीलाई भनें, ""ख्याल राख।""",友達に「（　）」と言いました,友達に「お大事に」と言いました,242,1,,,,,,,,,,,,,,,,,,
20,सन्चो हुनु,治る,なおる,मेरो साथीको रोग निको भयो,友達の病気が（　）ました,友達の病気が治りました,243,1,,,,,,,,,,,,,,,,,,
20,अस्पतालबाट डिस्चार्ज हुन,退院する,たいいんする,मेरो साथी अस्पतालबाट डिस्चार्ज भयो,友達は（　）しました,友達は退院しました,244,1,,,,,,,,,,,,,,,,,,
20,सेन्टिमिटर,,センチ,मेरो भाइ ५ सेन्टिमिटर अग्लो भएको छ।,兄は5（　）背が高くなりました,兄は5センチ背が高くなりました,245,1,,,,,,,,,,,,,,,,,,
20,तौल बढ्नु,太る,ふとる,मैले धेरै खाएँ र वजन बढ्यो,食べ過ぎて（　）ってしまいました,食べ過ぎて太ってしまいました,246,1,,,,,,,,,,,,,,,,,,
20,वजन घटाउने,痩せる,やせる,म सजिलै तौल घटाउन सक्दिन,なかなか（　）ません,なかなか痩せません,247,1,,,,,,,,,,,,,,,,,,
20,हात,腕,うで,मेरो शरीर भारी छ र मेरो हात  मोटो  छ।,体は重いし、（　）も太くなりました,体は重いし、腕も太くなりました,248,1,,,,,,,,,,,,,,,,,,
